Horn,x,y,Amp,z,theta,phi,marker,,verificar intensidade pois mudei z
R1,-960,-388,50.4653522582611,105.54,9.37,26.3,n,,
R2,-960,0,50.6281385153082,108.45,9,0,n,,1
R4,-840,-194,50.7411908914199,103.9,7.88,5.5,n,1,1
R9,-600,-194,51.0401590234947,80.2923,6.12,16.3,s,2,1
R10,-600,194,51.0401590234947,80.2923,6.12,-16.3,s,,
R11,-488,-388,51.2179239446651,85.25,5.7,38,n,3,
R15,-360,194,51.363391,45.8,3.85,-26.5,n,4,
R16,-240,-388,51.351143,24,4,58.5,n,,
R20,-120,194,51.476606,-11,2,-55,n,5,
R22,0,0,51.640523,0,0,0,n,,
R24,120,-194,51.471439,-10,1.6,100,n,6,
R26,240,-388,51.445212,35,3.3,117,n,,
R27,240,0,51.59994,0,1.5,180,n,,
R30,360,194,51.388063,0,2.7,-151,n,,
R31,480,-388,51.316179,49,4.18,134.7,n,,
H2,-380,0,51.414119,46.63,3.7,0,n,,1
H-2,380,0,51.273028,0,2.4,180,n,,
H18R,-285,495,51.4041507571671,7.43,4.75,-55.7,s,,
H19R,-95,495,51.4358695658728,8.16,4,-72.97,s,,
H20L,95,-495,51.383974,14,3.8,93,n,,
H21R,285,495,51.38918,52.04,4.1,-114,s,,
H22L,190,-660,51.207096,62,5.2,104,n,,
H25R,-388,660,51.210855,75,6.6,-57.35,n,,
F2,-800,-300,50.916193,105,8.7,25.3,n,,
F3,-880,-250,50.7689130635133,111.2298,8.6,19,n,7,
F4,-560,-100,51.1946565774569,71.8953,5.3,11.1,s,8,1
F5,-680,-190,51.013336,96.42,6.6,13.8,s,,
F6,-530,-190,51.130752,77.88,5.3,17.8,s,,
F7,-630,-280,50.8859057936993,88.85,6.4,20.7,s,9,
F8,-850,-100,50.9568,102,8.2,12.2,n,,
F18,-270,-360,51.429953,35,3.5,40.1,n,,
F19,-370,-270,51.4278531417628,56.04,4.3,30.7,n,10,
F20,-800,-50,51.007454,96.49,7.5,12.8,s,,
F21,-700,-50,51.124062,86.56,6.7,13.9,n,,
F22,-500,-50,51.302787,63,4.9,17.9,s,,
F25,-600,-50,51.227223,75.53,5.8,15.1,s,,
Fake,-200,100,51.541679,22,2.1,-25,n,,
Fake,200,100,51.481948,23,1.7,-151,n,,
Fake,-100,250,51.481545,30,2.5,-65,n,11,
Fake,-600,400,50.968153,90.62,6.5,-21,s,,
Fake,-700,250,51.077414,94,7.1,-23,n,,
